Room_type;person_n;bedroom_n;bed_n;Price
Private room;2;1;2;$65,00 
Private room;3;;;$60,00 
Private room;2;;2;$83,00 
Entire home/apt;2;1;1;$68,00 
Private room;2;1;2;$81,00 
Entire home/apt;2;1;1;$199,00 
Entire home/apt;2;1;1;$89,00 
Entire home/apt;4;3;;$90,00 
Entire home/apt;2;2;1;$120,00 
Private room;3;2;2;$124,00 
Private room;2;1;1;$85,00 
Entire home/apt;4;2;2;$165,00 
Private room;4;1;2;$176,00 
Entire home/apt;4;3;;$361,00 
Private room;2;1;2;$60,00 
Entire home/apt;2;1;1;$156,00 
Entire home/apt;2;1;1;$185,00 
Entire home/apt;4;3;4;$175,00 
Entire home/apt;2;1;1;$248,00 
Entire home/apt;4;1;3;$158,00 
Private room;1;1;1;$36,00 
Entire home/apt;3;2;1;$75,00 
Entire home/apt;3;2;2;$140,00 
Entire home/apt;6;3;5;$268,00 
Entire home/apt;4;2;2;$375,00 
Entire home/apt;4;2;2;$100,00 
Entire home/apt;2;1;2;$250,00 
Entire home/apt;4;1;2;$100,00 
Entire home/apt;3;2;1;$190,00 
Private room;2;1;1;$64,00 
Private room;3;2;2;$216,00 
Private room;4;1;4;$120,00 
Private room;2;1;1;$155,00 
Entire home/apt;4;2;2;$175,00 
Private room;2;1;1;$76,00 
Entire home/apt;3;2;2;$189,00 
Entire home/apt;2;1;1;$156,00 
Entire home/apt;4;1;3;$123,00 
Entire home/apt;2;1;1;$117,00 
Entire home/apt;4;2;3;$175,00 
Private room;2;1;1;$46,00 
Private room;1;1;2;$35,00 
Entire home/apt;4;3;3;$175,00 
Entire home/apt;4;3;3;$150,00 
Entire home/apt;4;3;4;$250,00 
Entire home/apt;4;2;2;$167,00 
Entire home/apt;3;1;1;$147,00 
Entire home/apt;4;2;2;$259,00 
Entire home/apt;4;;2;$280,00 
Entire home/apt;2;1;1;$160,00 
Entire home/apt;4;2;3;$129,00 
Entire home/apt;2;1;1;$181,00 
Entire home/apt;4;4;3;$169,00 
Private room;4;3;3;$207,00 
Private room;4;2;2;$233,00 
Entire home/apt;4;2;2;$185,00 
Entire home/apt;4;1;2;$75,00 
Private room;2;1;1;$50,00 
Entire home/apt;4;4;4;$320,00 
Private room;4;1;3;$189,00 
Private room;2;1;2;$100,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;4;2;2;$857,00 
Entire home/apt;3;2;2;$95,00 
Private room;2;1;1;$40,00 
Private room;2;1;1;$80,00 
Entire home/apt;2;1;1;$132,00 
Entire home/apt;2;1;1;$95,00 
Private room;3;1;2;$105,00 
Entire home/apt;4;2;2;$169,00 
Entire home/apt;6;5;6;$525,00 
Entire home/apt;2;1;1;$151,00 
Entire home/apt;4;3;4;$130,00 
Entire home/apt;3;2;1;$150,00 
Entire home/apt;4;3;3;$319,00 
Entire home/apt;4;3;;$275,00 
Private room;2;1;1;$75,00 
Entire home/apt;4;2;1;$175,00 
Entire home/apt;2;1;1;$100,00 
Entire home/apt;2;1;1;$190,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;4;2;3;$136,00 
Entire home/apt;4;3;3;$170,00 
Entire home/apt;2;1;1;$131,00 
Entire home/apt;4;2;3;$220,00 
Entire home/apt;4;3;5;$175,00 
Entire home/apt;2;;2;$175,00 
Private room;2;1;1;$88,00 
Entire home/apt;4;3;3;$150,00 
Entire home/apt;2;;1;$103,00 
Entire home/apt;4;2;3;$150,00 
Entire home/apt;5;4;6;$150,00 
Private room;2;1;2;$99,00 
Entire home/apt;4;2;2;$190,00 
Entire home/apt;2;1;1;$203,00 
Entire home/apt;8;4;5;$325,00 
Entire home/apt;5;4;8;$499,00 
Entire home/apt;4;2;2;$299,00 
Entire home/apt;4;2;3;$450,00 
Entire home/apt;4;2;2;$115,00 
Private room;2;;;$70,00 
Private room;2;1;1;$82,00 
Private room;4;;3;$160,00 
Entire home/apt;4;1;3;$120,00 
Entire home/apt;4;2;;$130,00 
Private room;2;1;1;$110,00 
Entire home/apt;8;4;6;$300,00 
Entire home/apt;4;3;3;$185,00 
Entire home/apt;2;1;1;$120,00 
Private room;2;1;2;$185,00 
Entire home/apt;2;1;1;$130,00 
Private room;1;1;1;$95,00 
Private room;3;1;;$70,00 
Entire home/apt;4;2;3;$195,00 
Entire home/apt;2;1;1;$100,00 
Private room;4;2;2;$200,00 
Entire home/apt;4;3;3;$292,00 
Entire home/apt;2;;1;$133,00 
Entire home/apt;4;3;4;$260,00 
Entire home/apt;2;1;1;$136,00 
Entire home/apt;3;1;1;$84,00 
Private room;4;1;4;$160,00 
Entire home/apt;2;1;1;$100,00 
Entire home/apt;4;2;3;$170,00 
Entire home/apt;4;2;4;$600,00 
Entire home/apt;2;1;1;$115,00 
Entire home/apt;2;1;1;$109,00 
Private room;4;;2;$85,00 
Private room;4;1;5;$82,00 
Entire home/apt;4;3;5;$220,00 
Entire home/apt;4;2;3;$199,00 
Entire home/apt;4;3;3;$305,00 
Private room;3;1;1;$71,00 
Entire home/apt;4;4;4;$260,00 
Entire home/apt;4;2;2;$245,00 
Private room;2;1;1;$69,00 
Entire home/apt;2;1;1;$104,00 
Entire home/apt;4;1;3;$128,00 
Private room;2;1;2;$71,00 
Entire home/apt;2;2;1;$139,00 
Entire home/apt;3;2;2;$115,00 
Private room;2;1;1;$99,00 
Entire home/apt;4;1;2;$250,00 
Entire home/apt;2;1;1;$104,00 
Entire home/apt;4;4;4;$230,00 
Private room;3;1;2;$69,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;3;1;2;$125,00 
Entire home/apt;2;1;1;$97,00 
Entire home/apt;4;2;3;$325,00 
Entire home/apt;6;4;4;$360,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$141,00 
Entire home/apt;4;1;2;$205,00 
Entire home/apt;4;1;1;$121,00 
Entire home/apt;4;1;;$320,00 
Private room;1;1;1;$61,00 
Private room;2;1;1;$98,00 
Private room;2;1;1;$98,00 
Entire home/apt;2;1;1;$129,00 
Entire home/apt;2;1;2;$99,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;4;2;2;$239,00 
Entire home/apt;5;4;5;$195,00 
Entire home/apt;4;3;2;$179,00 
Entire home/apt;2;;1;$113,00 
Entire home/apt;4;3;3;$250,00 
Entire home/apt;3;2;2;$149,00 
Entire home/apt;4;2;2;$107,00 
Entire home/apt;2;1;1;$149,00 
Entire home/apt;4;3;4;$185,00 
Entire home/apt;2;;;$114,00 
Entire home/apt;2;1;1;$119,00 
Entire home/apt;2;2;2;$132,00 
Entire home/apt;4;3;5;$150,00 
Entire home/apt;4;2;4;$150,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;2;1;1;$214,00 
Private room;2;1;1;$100,00 
Entire home/apt;3;2;3;$75,00 
Entire home/apt;3;1;3;$225,00 
Entire home/apt;2;1;1;$336,00 
Private room;2;;2;$83,00 
Private room;2;1;1;$111,00 
Entire home/apt;4;3;4;$156,00 
Entire home/apt;4;2;3;$180,00 
Entire home/apt;2;1;1;$103,00 
Entire home/apt;2;1;1;$85,00 
Entire home/apt;6;4;3;$145,00 
Entire home/apt;4;4;8;$445,00 
Entire home/apt;4;2;2;$110,00 
Private room;2;1;3;$230,00 
Entire home/apt;4;2;3;$104,00 
Entire home/apt;6;4;4;$400,00 
Entire home/apt;3;1;2;$85,00 
Entire home/apt;4;2;2;$195,00 
Entire home/apt;3;;2;$120,00 
Entire home/apt;2;1;1;$160,00 
Private room;2;2;4;$100,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;2;1;1;$190,00 
Entire home/apt;2;1;1;$148,00 
Entire home/apt;4;5;5;$320,00 
Private room;2;1;1;$85,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;4;2;2;$210,00 
Private room;1;1;1;$75,00 
Entire home/apt;2;1;1;$165,00 
Private room;2;1;1;$65,00 
Entire home/apt;4;3;3;$175,00 
Entire home/apt;3;1;2;$199,00 
Entire home/apt;2;1;1;$48,00 
Private room;4;1;1;$175,00 
Private room;3;1;2;$95,00 
Entire home/apt;2;1;1;$200,00 
Private room;2;1;1;$123,00 
Entire home/apt;4;3;4;$220,00 
Entire home/apt;2;1;1;$85,00 
Private room;4;1;3;$82,00 
Entire home/apt;4;4;3;$280,00 
Entire home/apt;4;3;4;$175,00 
Entire home/apt;3;1;1;$121,00 
Entire home/apt;4;2;4;$275,00 
Entire home/apt;2;1;1;$165,00 
Shared room;2;1;1;$60,00 
Entire home/apt;5;2;3;$110,00 
Private room;1;1;1;$46,00 
Private room;2;1;;$95,00 
Entire home/apt;2;1;1;$278,00 
Entire home/apt;2;1;1;$193,00 
Entire home/apt;3;2;1;$210,00 
Entire home/apt;2;1;1;$112,00 
Entire home/apt;4;3;3;$250,00 
Entire home/apt;2;1;1;$155,00 
Entire home/apt;2;1;1;$185,00 
Entire home/apt;2;1;1;$80,00 
Entire home/apt;4;3;5;$218,00 
Entire home/apt;3;1;2;$225,00 
Entire home/apt;4;2;2;$249,00 
Entire home/apt;4;3;4;$249,00 
Entire home/apt;2;1;1;$166,00 
Entire home/apt;2;1;;$90,00 
Entire home/apt;2;1;1;$164,00 
Private room;2;1;1;$94,00 
Entire home/apt;4;3;4;$340,00 
Entire home/apt;4;2;2;$207,00 
Entire home/apt;4;3;3;$250,00 
Entire home/apt;2;1;1;$121,00 
Entire home/apt;5;4;5;$279,00 
Entire home/apt;2;1;1;$147,00 
Entire home/apt;2;1;1;$180,00 
Entire home/apt;2;1;1;$165,00 
Entire home/apt;2;1;1;$129,00 
Entire home/apt;4;2;;$210,00 
Entire home/apt;4;3;4;$629,00 
Entire home/apt;4;3;3;$77,00 
Entire home/apt;1;1;1;$89,00 
Entire home/apt;3;2;2;$140,00 
Entire home/apt;2;1;1;$211,00 
Entire home/apt;2;1;1;$260,00 
Entire home/apt;2;1;;$120,00 
Entire home/apt;4;3;4;$119,00 
Entire home/apt;4;2;4;$120,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$240,00 
Entire home/apt;2;1;1;$99,00 
Entire home/apt;6;4;7;$350,00 
Private room;2;1;1;$110,00 
Entire home/apt;2;3;;$125,00 
Entire home/apt;2;1;1;$132,00 
Private room;2;1;1;$65,00 
Entire home/apt;4;3;3;$500,00 
Entire home/apt;4;2;3;$150,00 
Private room;2;1;1;$75,00 
Entire home/apt;3;2;2;$125,00 
Entire home/apt;2;1;;$102,00 
Entire home/apt;6;4;7;$170,00 
Entire home/apt;2;1;1;$180,00 
Entire home/apt;4;2;2;$250,00 
Entire home/apt;4;2;4;$110,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;4;2;3;$78,00 
Entire home/apt;5;3;3;$333,00 
Entire home/apt;3;1;2;$150,00 
Entire home/apt;2;1;1;$90,00 
Entire home/apt;4;2;2;$159,00 
Private room;4;1;3;$48,00 
Entire home/apt;2;1;1;$105,00 
Private room;4;1;4;$74,00 
Entire home/apt;3;2;3;$110,00 
Entire home/apt;4;2;2;$250,00 
Private room;2;1;1;$68,00 
Entire home/apt;2;1;1;$109,00 
Private room;2;1;1;$79,00 
Private room;2;1;1;$133,00 
Private room;2;1;;$125,00 
Entire home/apt;4;2;3;$318,00 
Entire home/apt;2;1;1;$100,00 
Entire home/apt;2;2;3;$150,00 
Entire home/apt;3;2;2;$179,00 
Private room;2;1;1;$66,00 
Entire home/apt;3;2;2;$255,00 
Entire home/apt;2;1;2;$83,00 
Entire home/apt;2;;2;$115,00 
Entire home/apt;5;4;4;$231,00 
Private room;1;1;1;$45,00 
Private room;2;1;1;$76,00 
Entire home/apt;2;1;1;$95,00 
Entire home/apt;4;3;4;$175,00 
Entire home/apt;3;2;2;$156,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;2;1;1;$80,00 
Private room;2;1;1;$45,00 
Entire home/apt;3;2;2;$183,00 
Entire home/apt;2;1;1;$131,00 
Entire home/apt;4;3;3;$150,00 
Entire home/apt;3;;;$125,00 
Private room;3;1;2;$107,00 
Private room;4;3;4;$250,00 
Entire home/apt;3;2;2;$71,00 
Entire home/apt;2;1;1;$129,00 
Entire home/apt;4;1;2;$171,00 
Private room;2;1;1;$76,00 
Entire home/apt;2;1;1;$96,00 
Entire home/apt;2;1;1;$140,00 
Private room;2;1;1;$89,00 
Entire home/apt;2;;1;$75,00 
Entire home/apt;4;3;4;$140,00 
Private room;2;1;;$90,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;2;1;1;$120,00 
Private room;2;1;1;$35,00 
Entire home/apt;4;1;2;$140,00 
Private room;2;1;1;$57,00 
Entire home/apt;4;2;2;$180,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;2;1;1;$90,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;3;1;2;$113,00 
Entire home/apt;4;2;6;$145,00 
Entire home/apt;4;2;3;$229,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;4;2;3;$295,00 
Entire home/apt;2;1;1;$103,00 
Private room;2;1;;$80,00 
Entire home/apt;2;1;1;$170,00 
Entire home/apt;4;3;3;$529,00 
Entire home/apt;3;1;1;$69,00 
Entire home/apt;2;1;1;$140,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;2;1;1;$120,00 
Private room;2;1;1;$126,00 
Private room;2;1;2;$60,00 
Entire home/apt;2;1;1;$153,00 
Entire home/apt;2;1;1;$300,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;2;1;1;$105,00 
Entire home/apt;2;1;1;$180,00 
Private room;2;1;1;$68,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;2;1;1;$164,00 
Entire home/apt;6;4;5;$486,00 
Entire home/apt;4;2;2;$179,00 
Entire home/apt;4;2;2;$164,00 
Entire home/apt;3;2;2;$135,00 
Entire home/apt;4;2;2;$280,00 
Entire home/apt;2;1;1;$81,00 
Entire home/apt;4;2;2;$210,00 
Entire home/apt;4;6;8;$550,00 
Entire home/apt;2;1;1;$125,00 
Private room;4;1;2;$150,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;4;2;2;$249,00 
Entire home/apt;4;2;3;$200,00 
Entire home/apt;2;1;1;$121,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;2;1;1;$89,00 
Entire home/apt;2;1;;$149,00 
Entire home/apt;2;1;1;$150,00 
Private room;2;1;1;$50,00 
Private room;4;1;;$101,00 
Private room;2;1;;$145,00 
Private room;2;1;1;$160,00 
Entire home/apt;2;1;1;$150,00 
Private room;6;1;4;$191,00 
Entire home/apt;4;3;4;$325,00 
Entire home/apt;3;2;2;$220,00 
Private room;2;1;1;$79,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;16;3;20;$432,00 
Entire home/apt;3;2;3;$60,00 
Entire home/apt;3;1;2;$95,00 
Private room;2;1;1;$105,00 
Entire home/apt;2;1;1;$100,00 
Entire home/apt;5;2;3;$179,00 
Entire home/apt;2;1;1;$185,00 
Entire home/apt;2;1;1;$123,00 
Entire home/apt;2;1;;$249,00 
Entire home/apt;4;3;4;$266,00 
Private room;1;1;1;$66,00 
Entire home/apt;4;2;4;$171,00 
Entire home/apt;4;2;2;$299,00 
Private room;2;1;1;$40,00 
Entire home/apt;2;1;1;$220,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;2;1;2;$161,00 
Private room;2;1;1;$134,00 
Entire home/apt;2;1;;$120,00 
Entire home/apt;2;1;1;$104,00 
Private room;3;;2;$89,00 
Entire home/apt;4;2;2;$300,00 
Entire home/apt;4;2;2;$325,00 
Entire home/apt;5;4;4;$180,00 
Private room;2;1;1;$100,00 
Private room;2;1;;$57,00 
Entire home/apt;2;1;1;$65,00 
Entire home/apt;4;1;1;$70,00 
Private room;2;1;1;$43,00 
Entire home/apt;4;2;2;$185,00 
Private room;2;1;1;$110,00 
Private room;2;1;1;$73,00 
Private room;2;1;1;$105,00 
Entire home/apt;4;2;3;$200,00 
Entire home/apt;2;1;;$263,00 
Private room;2;1;1;$113,00 
Entire home/apt;6;2;2;$207,00 
Entire home/apt;4;2;3;$250,00 
Entire home/apt;3;1;2;$179,00 
Entire home/apt;2;1;1;$89,00 
Entire home/apt;2;1;1;$111,00 
Private room;2;1;1;$100,00 
Entire home/apt;3;1;2;$195,00 
Entire home/apt;2;1;1;$230,00 
Entire home/apt;2;1;3;$199,00 
Entire home/apt;4;2;2;$110,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;2;1;2;$220,00 
Entire home/apt;2;1;;$220,00 
Entire home/apt;2;1;1;$150,00 
Private room;3;1;2;$160,00 
Entire home/apt;4;3;3;$150,00 
Private room;2;1;1;$99,00 
Entire home/apt;2;1;1;$111,00 
Private room;1;1;1;$41,00 
Entire home/apt;2;1;1;$140,00 
Entire home/apt;3;1;1;$170,00 
Entire home/apt;4;2;2;$175,00 
Private room;4;1;2;$130,00 
Entire home/apt;4;2;2;$200,00 
Entire home/apt;6;4;4;$460,00 
Entire home/apt;4;2;2;$219,00 
Entire home/apt;4;4;4;$695,00 
Entire home/apt;2;1;1;$140,00 
Private room;2;;2;$77,00 
Entire home/apt;3;2;2;$249,00 
Entire home/apt;4;2;4;$150,00 
Private room;4;1;4;$76,00 
Entire home/apt;4;3;4;$400,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;3;1;1;$111,00 
Entire home/apt;6;3;4;$345,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;2;1;1;$85,00 
Private room;2;1;1;$79,00 
Entire home/apt;4;1;2;$125,00 
Private room;2;1;1;$85,00 
Private room;2;1;1;$84,00 
Entire home/apt;4;2;2;$179,00 
Private room;4;2;4;$181,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;4;2;2;$161,00 
Entire home/apt;4;1;1;$52,00 
Entire home/apt;4;2;3;$190,00 
Private room;1;1;1;$45,00 
Private room;3;1;2;$45,00 
Entire home/apt;2;1;2;$90,00 
Private room;2;1;1;$79,00 
Entire home/apt;2;1;1;$100,00 
Private room;4;2;2;$190,00 
Entire home/apt;4;2;2;$130,00 
Entire home/apt;3;1;1;$50,00 
Private room;4;1;2;$96,00 
Private room;2;1;1;$65,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;2;1;1;$102,00 
Entire home/apt;2;1;1;$95,00 
Private room;2;;1;$83,00 
Entire home/apt;2;1;1;$115,00 
Entire home/apt;2;1;1;$314,00 
Entire home/apt;4;3;3;$199,00 
Entire home/apt;4;3;3;$195,00 
Entire home/apt;4;2;3;$95,00 
Entire home/apt;6;3;3;$449,00 
Private room;4;1;3;$102,00 
Entire home/apt;4;2;2;$400,00 
Entire home/apt;8;4;6;$745,00 
Entire home/apt;5;3;4;$100,00 
Private room;2;1;1;$126,00 
Entire home/apt;2;1;1;$195,00 
Entire home/apt;3;1;1;$159,00 
Entire home/apt;2;1;1;$118,00 
Private room;2;1;1;$65,00 
Entire home/apt;4;2;;$350,00 
Entire home/apt;4;2;3;$200,00 
Private room;3;1;4;$80,00 
Private room;2;1;1;$80,00 
Private room;2;1;1;$100,00 
Private room;4;1;1;$120,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;16;8;18;$587,00 
Entire home/apt;4;1;2;$65,00 
Entire home/apt;2;1;1;$195,00 
Entire home/apt;4;4;2;$221,00 
Entire home/apt;2;1;1;$125,00 
Entire home/apt;4;3;3;$252,00 
Private room;2;1;1;$105,00 
Entire home/apt;2;;1;$135,00 
Entire home/apt;4;2;2;$150,00 
Entire home/apt;14;7;14;$487,00 
Entire home/apt;2;1;1;$144,00 
Entire home/apt;4;2;2;$214,00 
Entire home/apt;2;1;1;$109,00 
Private room;2;1;1;$100,00 
Private room;2;1;1;$63,00 
Private room;2;1;1;$150,00 
Private room;2;1;1;$86,00 
Hotel room;2;1;1;$150,00 
Private room;2;1;1;$59,00 
Entire home/apt;4;2;2;$247,00 
Entire home/apt;3;2;2;$150,00 
Entire home/apt;2;1;1;$178,00 
Private room;2;1;1;$116,00 
Entire home/apt;4;2;2;$232,00 
Entire home/apt;2;2;1;$220,00 
Entire home/apt;4;;4;$330,00 
Entire home/apt;4;2;2;$205,00 
Entire home/apt;4;3;3;$140,00 
Entire home/apt;2;1;1;$160,00 
Private room;4;3;3;$133,00 
Private room;2;1;1;$85,00 
Entire home/apt;4;4;6;$225,00 
Entire home/apt;4;5;6;$204,00 
Private room;2;1;1;$85,00 
Private room;2;1;;$85,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;4;4;5;$225,00 
Entire home/apt;4;2;2;$195,00 
Entire home/apt;2;1;1;$155,00 
Entire home/apt;2;;1;$111,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;2;1;1;$120,00 
Private room;2;1;1;$49,00 
Entire home/apt;2;;1;$191,00 
Entire home/apt;4;4;3;$200,00 
Entire home/apt;4;1;2;$149,00 
Entire home/apt;2;1;2;$195,00 
Private room;1;1;1;$85,00 
Entire home/apt;4;2;3;$142,00 
Private room;4;1;4;$145,00 
Entire home/apt;4;;2;$149,00 
Private room;2;1;1;$102,00 
Private room;2;1;2;$144,00 
Private room;4;2;2;$128,00 
Private room;2;1;;$165,00 
Entire home/apt;2;1;1;$149,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;6;3;6;$400,00 
Entire home/apt;2;1;1;$100,00 
Private room;2;1;1;$79,00 
Entire home/apt;4;3;3;$350,00 
Entire home/apt;2;1;1;$248,00 
Entire home/apt;4;1;2;$157,00 
Entire home/apt;4;1;;$172,00 
Private room;2;1;1;$79,00 
Private room;2;1;1;$75,00 
Entire home/apt;6;4;4;$448,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;4;2;2;$207,00 
Private room;2;1;1;$80,00 
Private room;2;1;1;$95,00 
Entire home/apt;1;1;1;$149,00 
Private room;2;;1;$76,00 
Entire home/apt;4;1;2;$166,00 
Private room;2;1;1;$80,00 
Entire home/apt;2;1;1;$127,00 
Private room;2;1;1;$76,00 
Entire home/apt;2;1;1;$220,00 
Entire home/apt;4;2;2;$400,00 
Private room;2;1;1;$55,00 
Entire home/apt;4;4;4;$330,00 
Entire home/apt;2;;1;$125,00 
Entire home/apt;4;2;4;$196,00 
Entire home/apt;2;1;1;$148,00 
Entire home/apt;4;2;3;$210,00 
Entire home/apt;2;1;2;$120,00 
Entire home/apt;4;4;6;$245,00 
Private room;2;1;1;$122,00 
Entire home/apt;2;2;1;$95,00 
Entire home/apt;2;1;1;$140,00 
Entire home/apt;2;1;1;$168,00 
Entire home/apt;2;1;1;$178,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;8;4;6;$150,00 
Entire home/apt;4;2;3;$280,00 
Entire home/apt;2;1;2;$90,00 
Entire home/apt;2;;1;$99,00 
Entire home/apt;3;3;3;$179,00 
Entire home/apt;4;2;2;$175,00 
Entire home/apt;2;1;1;$143,00 
Entire home/apt;4;4;5;$257,00 
Private room;2;1;2;$55,00 
Entire home/apt;4;4;4;$299,00 
Entire home/apt;2;1;1;$100,00 
Private room;4;1;2;$85,00 
Entire home/apt;4;2;2;$453,00 
Private room;1;1;1;$45,00 
Private room;2;1;1;$240,00 
Entire home/apt;2;1;1;$99,00 
Private room;2;1;1;$101,00 
Private room;2;1;1;$74,00 
Entire home/apt;2;1;1;$80,00 
Entire home/apt;2;1;1;$135,00 
Private room;2;1;2;$122,00 
Entire home/apt;4;2;3;$150,00 
Entire home/apt;4;1;2;$150,00 
Entire home/apt;4;2;2;$275,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$90,00 
Entire home/apt;6;3;6;$320,00 
Private room;4;1;2;$85,00 
Entire home/apt;4;1;1;$115,00 
Private room;2;;1;$98,00 
Entire home/apt;2;1;1;$130,00 
Entire home/apt;4;2;3;$250,00 
Entire home/apt;4;2;3;$325,00 
Private room;4;2;4;$50,00 
Private room;2;1;2;$175,00 
Entire home/apt;4;4;6;$195,00 
Entire home/apt;2;1;1;$79,00 
Entire home/apt;4;3;3;$100,00 
Entire home/apt;2;1;1;$135,00 
Entire home/apt;2;1;1;$249,00 
Private room;2;1;1;$73,00 
Entire home/apt;2;1;1;$130,00 
Private room;2;1;2;$51,00 
Entire home/apt;4;3;3;$213,00 
Entire home/apt;2;1;1;$120,00 
Private room;4;;1;$90,00 
Entire home/apt;2;1;1;$200,00 
Entire home/apt;6;4;5;$225,00 
Hotel room;2;1;1;$123,00 
Entire home/apt;2;1;1;$149,00 
Entire home/apt;2;1;;$109,00 
Private room;4;2;4;$170,00 
Entire home/apt;4;2;2;$295,00 
Private room;4;1;4;$57,00 
Entire home/apt;2;1;1;$175,00 
Private room;2;1;1;$128,00 
Entire home/apt;2;1;1;$131,00 
Entire home/apt;4;2;4;$350,00 
Entire home/apt;5;3;3;$350,00 
Entire home/apt;2;1;1;$133,00 
Entire home/apt;2;1;2;$193,00 
Entire home/apt;4;2;2;$350,00 
Entire home/apt;3;1;1;$79,00 
Entire home/apt;4;1;2;$150,00 
Entire home/apt;2;1;1;$80,00 
Entire home/apt;3;2;;$189,00 
Entire home/apt;2;1;1;$95,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$104,00 
Entire home/apt;2;1;1;$139,00 
Private room;2;1;1;$70,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;3;1;2;$150,00 
Entire home/apt;2;1;1;$155,00 
Entire home/apt;2;2;2;$95,00 
Entire home/apt;2;2;2;$225,00 
Entire home/apt;4;3;4;$214,00 
Entire home/apt;2;1;1;$159,00 
Entire home/apt;3;1;1;$150,00 
Entire home/apt;4;4;4;$250,00 
Private room;1;1;1;$58,00 
Private room;4;2;;$55,00 
Private room;2;1;;$149,00 
Entire home/apt;4;1;1;$189,00 
Entire home/apt;2;;;$85,00 
Entire home/apt;4;2;2;$226,00 
Entire home/apt;2;1;1;$149,00 
Entire home/apt;2;;1;$90,00 
Entire home/apt;2;;1;$69,00 
Entire home/apt;2;1;1;$75,00 
Entire home/apt;2;1;2;$83,00 
Entire home/apt;2;1;1;$120,00 
Entire home/apt;4;4;6;$450,00 
Private room;2;1;2;$75,00 
Entire home/apt;2;1;1;$93,00 
Entire home/apt;4;2;2;$210,00 
Entire home/apt;2;1;1;$145,00 
Private room;2;1;1;$90,00 
Entire home/apt;2;1;1;$145,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;5;4;4;$120,00 
Private room;2;1;1;$61,00 
Private room;2;1;;$59,00 
Entire home/apt;4;3;3;$128,00 
Entire home/apt;3;2;2;$210,00 
Entire home/apt;2;1;1;$236,00 
Entire home/apt;4;2;4;$125,00 
Entire home/apt;2;1;1;$129,00 
Entire home/apt;2;1;1;$100,00 
Private room;2;1;2;$104,00 
Entire home/apt;4;3;3;$210,00 
Private room;4;1;4;$209,00 
Private room;3;1;3;$153,00 
Private room;1;1;1;$73,00 
Entire home/apt;2;1;;$150,00 
Entire home/apt;4;2;4;$255,00 
Entire home/apt;2;1;1;$175,00 
Entire home/apt;2;2;1;$105,00 
Entire home/apt;4;3;3;$110,00 
Entire home/apt;2;1;1;$70,00 
Private room;2;;1;$100,00 
Private room;2;1;2;$80,00 
Entire home/apt;4;3;3;$195,00 
Private room;2;1;1;$60,00 
Entire home/apt;2;1;;$180,00 
Entire home/apt;3;2;1;$120,00 
Private room;2;1;1;$75,00 
Entire home/apt;4;2;2;$300,00 
Entire home/apt;2;1;1;$199,00 
Entire home/apt;2;1;;$110,00 
Private room;2;1;2;$125,00 
Private room;2;1;2;$104,00 
Private room;3;1;3;$153,00 
Entire home/apt;2;1;1;$139,00 
Entire home/apt;16;5;17;$291,00 
Entire home/apt;8;2;5;$170,00 
Entire home/apt;2;1;1;$140,00 
