Room_type;person_n;bedroom_n;bed_n;Price
Entire home/apt;4;2;2;$199,00 
Private room;2;1;1;$103,00 
Entire home/apt;2;1;1;$136,00 
Private room;1;1;1;$60,00 
Entire home/apt;4;2;2;$165,00 
Entire home/apt;4;1;3;$173,00 
Private room;2;1;2;$110,00 
Entire home/apt;4;1;1;$100,00 
Entire home/apt;4;1;2;$325,00 
Entire home/apt;6;3;5;$225,00 
Entire home/apt;2;2;2;$180,00 
Entire home/apt;2;1;;$90,00 
Private room;2;1;1;$57,00 
Entire home/apt;2;1;;$250,00 
Private room;2;1;1;$109,00 
Entire home/apt;6;4;6;$250,00 
Private room;2;1;1;$89,00 
Private room;2;1;1;$118,00 
Entire home/apt;2;1;1;$110,00 
Entire home/apt;2;1;1;$149,00 
Entire home/apt;4;2;3;$399,00 
Entire home/apt;4;2;3;$200,00 
Private room;2;1;1;$133,00 
Entire home/apt;4;2;;$150,00 
Entire home/apt;3;2;2;$160,00 
Private room;2;1;1;$77,00 
Entire home/apt;2;1;1;$85,00 
Private room;2;1;1;$103,00 
Entire home/apt;2;1;1;$122,00 
Private room;2;1;2;$125,00 
Entire home/apt;4;3;3;$180,00 
Entire home/apt;4;4;5;$150,00 
Entire home/apt;4;2;2;$127,00 
Entire home/apt;4;3;2;$800,00 
Entire home/apt;4;3;3;$196,00 
Entire home/apt;2;1;1;$180,00 
Private room;4;1;3;$130,00 
Entire home/apt;4;2;2;$180,00 
Private room;2;1;1;$126,00 
Private room;3;1;2;$74,00 
Entire home/apt;6;5;8;$359,00 
Private room;2;;2;$132,00 
Private room;3;1;2;$89,00 
Private room;2;1;1;$137,00 
Entire home/apt;4;2;3;$90,00 
Entire home/apt;4;2;2;$285,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;1;1;$120,00 
Private room;2;1;1;$59,00 
Private room;2;1;1;$87,00 
Entire home/apt;4;2;2;$210,00 
Entire home/apt;4;4;4;$275,00 
Entire home/apt;1;1;1;$125,00 
Entire home/apt;6;4;4;$399,00 
Private room;4;1;2;$165,00 
Entire home/apt;4;1;1;$125,00 
Entire home/apt;2;1;1;$130,00 
Private room;4;2;2;$122,00 
Private room;16;7;16;$514,00 
Entire home/apt;5;3;4;$195,00 
Private room;2;1;2;$90,00 
Private room;2;1;1;$85,00 
Entire home/apt;4;3;3;$140,00 
Private room;2;1;2;$72,00 
Private room;2;1;2;$77,00 
Entire home/apt;6;5;5;$300,00 
Private room;2;1;1;$74,00 
Entire home/apt;4;2;3;$355,00 
Private room;2;1;2;$95,00 
Private room;2;1;1;$84,00 
Private room;2;1;1;$41,00 
Entire home/apt;4;3;2;$145,00 
Entire home/apt;3;2;2;$120,00 
Shared room;2;1;2;$80,00 
Private room;2;1;2;$71,00 
Entire home/apt;6;2;5;$343,00 
Entire home/apt;4;2;4;$153,00 
Entire home/apt;2;1;1;$200,00 
Private room;2;1;1;$129,00 
Private room;2;1;;$98,00 
Private room;2;1;1;$38,00 
Private room;2;1;2;$136,00 
Private room;2;;1;$87,00 
Entire home/apt;2;1;1;$140,00 
Entire home/apt;5;4;6;$128,00 
Entire home/apt;5;3;3;$225,00 
Private room;2;1;1;$88,00 
Entire home/apt;4;2;2;$295,00 
Entire home/apt;4;3;3;$950,00 
Entire home/apt;2;1;2;$177,00 
Entire home/apt;4;4;5;$595,00 
Entire home/apt;2;1;1;$150,00 
Entire home/apt;6;3;4;$267,00 
Private room;2;1;1;$62,00 
Entire home/apt;2;1;1;$99,00 
Entire home/apt;4;1;1;$135,00 
Private room;4;2;2;$100,00 
Entire home/apt;2;2;1;$125,00 
Entire home/apt;4;1;2;$106,00 
Private room;2;1;3;$133,00 
Entire home/apt;2;1;1;$100,00 
Entire home/apt;3;2;2;$180,00 
Private room;2;1;1;$80,00 
Entire home/apt;3;1;2;$130,00 
Private room;2;1;1;$116,00 
Entire home/apt;5;3;4;$250,00 
Private room;2;1;1;$41,00 
Entire home/apt;2;1;1;$250,00 
Entire home/apt;2;;2;$85,00 
Private room;2;1;1;$40,00 
Entire home/apt;2;1;1;$102,00 
Private room;4;2;4;$46,00 
Entire home/apt;2;1;1;$75,00 
