bedrooms,beds,Price,n_person
,1.0,87.0,2
1.0,1.0,140.0,2
4.0,6.0,128.0,5
3.0,3.0,225.0,5
1.0,1.0,88.0,2
2.0,2.0,295.0,4
3.0,3.0,950.0,4
1.0,2.0,177.0,2
4.0,5.0,595.0,4
1.0,1.0,150.0,2
3.0,4.0,267.0,6
1.0,1.0,62.0,2
1.0,1.0,99.0,2
1.0,1.0,135.0,4
2.0,2.0,100.0,4
2.0,1.0,125.0,2
1.0,2.0,106.0,4
1.0,3.0,133.0,2
1.0,1.0,100.0,2
2.0,2.0,180.0,3
1.0,1.0,80.0,2
1.0,2.0,130.0,3
1.0,1.0,116.0,2
3.0,4.0,250.0,5
1.0,1.0,41.0,2
1.0,1.0,250.0,2
,2.0,85.0,2
1.0,1.0,40.0,2
1.0,1.0,102.0,2
2.0,4.0,46.0,4
1.0,1.0,75.0,2
1.0,1.0,100.0,2
1.0,2.0,99.0,2
4.0,4.0,300.0,4
1.0,1.0,285.0,2
4.0,4.0,295.0,4
1.0,1.0,120.0,2
3.0,3.0,110.0,4
1.0,1.0,120.0,2
1.0,3.0,130.0,4
4.0,4.0,263.0,4
2.0,1.0,88.0,4
1.0,1.0,80.0,2
1.0,4.0,90.0,4
1.0,1.0,150.0,2
3.0,3.0,160.0,4
1.0,1.0,73.0,2
3.0,3.0,299.0,4
3.0,3.0,260.0,4
2.0,2.0,180.0,4
,2.0,160.0,2
3.0,5.0,399.0,5
2.0,2.0,250.0,4
3.0,3.0,250.0,4
1.0,1.0,108.0,2
1.0,,225.0,2
2.0,2.0,100.0,3
1.0,1.0,69.0,2
2.0,1.0,225.0,4
1.0,1.0,350.0,2
1.0,,155.0,4
3.0,6.0,500.0,5
1.0,1.0,101.0,2
2.0,2.0,175.0,4
1.0,1.0,130.0,2
1.0,1.0,120.0,2
2.0,2.0,99.0,3
2.0,3.0,175.0,4
4.0,4.0,400.0,4
3.0,3.0,193.0,4
1.0,1.0,64.0,2
1.0,1.0,59.0,1
1.0,1.0,140.0,2
1.0,1.0,111.0,1
2.0,2.0,135.0,4
1.0,2.0,175.0,4
1.0,,75.0,2
3.0,5.0,102.0,4
3.0,1.0,300.0,4
2.0,2.0,159.0,4
1.0,,77.0,4
1.0,1.0,74.0,1
1.0,1.0,165.0,2
1.0,1.0,91.0,3
1.0,2.0,76.0,2
2.0,2.0,234.0,2
3.0,3.0,220.0,5
1.0,1.0,108.0,2
1.0,1.0,71.0,2
1.0,3.0,60.0,1
3.0,4.0,150.0,4
2.0,2.0,100.0,4
1.0,1.0,125.0,2
2.0,2.0,150.0,4
